Id,Main,title,Third,Brands,旗舰店,天猫超市,海外旗舰店
84,进口食品,进口零食,进口薯片/膨化,海太,1,1,0
85,进口食品,进口零食,进口薯片/膨化,酥寻,0,1,0
86,进口食品,进口零食,进口薯片/膨化,墨西哥少女（美国）,1,1,0
87,进口食品,进口零食,进口薯片/膨化,印象（马来西亚）,0,1,0
88,进口食品,进口零食,进口薯片/膨化,MIAOW,1,1,1
89,进口食品,进口零食,进口薯片/膨化,奥嘉莱,1,1,0
90,进口食品,进口零食,进口薯片/膨化,Lay’s/乐事,1,1,0
91,进口食品,进口零食,进口薯片/膨化,Jacker/杰克,1,1,1
92,进口食品,进口零食,进口薯片/膨化,克恩兹,0,1,0
93,进口食品,进口零食,进口薯片/膨化,九日,1,1,0
94,进口食品,进口零食,进口薯片/膨化,趣莱福,1,1,0
95,进口食品,进口零食,进口薯片/膨化,BIKA（马来西亚）,1,1,1
96,进口食品,进口零食,进口薯片/膨化,Thins,1,1,0
97,进口食品,进口零食,进口薯片/膨化,农心,1,1,0
98,进口食品,进口零食,进口薯片/膨化,ANGRY BIRDS/愤怒的小鸟,1,0,0
99,进口食品,进口零食,进口坚果,绅士（美国）,1,1,0
100,进口食品,进口零食,进口坚果,KIRKLAND Signature/科克兰,0,0,0
101,进口食品,进口零食,进口坚果,Wonderful/万多福,1,1,0
102,进口食品,进口零食,进口坚果,LUCKY/栗祺,1,1,0
103,进口食品,进口零食,进口坚果,汤姆农场,1,1,0
104,进口食品,进口零食,进口坚果,蓝钻石（美国）,1,1,1
105,进口食品,进口零食,进口坚果,LORENZ/劳仑兹,1,1,0
106,进口食品,进口零食,进口坚果,蝴蝶牌（香港）,1,1,0
107,进口食品,进口零食,进口坚果,大哥,1,1,0
108,进口食品,进口零食,进口坚果,多赛特谷（英国）,0,1,0
109,进口食品,进口零食,进口糖果,乐家（美国）,1,1,1
110,进口食品,进口零食,进口糖果,cocoaland LOT100/一百份,1,1,0
111,进口食品,进口零食,进口糖果,Cavendish&Harvey/嘉云（德国）,0,0,0
112,进口食品,进口零食,进口糖果,COCON/可康,1,1,0
113,进口食品,进口零食,进口糖果,Pierrot Gourmand/倍乐果（法国）,0,0,0
114,进口食品,进口零食,进口糖果,EGO（马来西亚）,0,1,0
115,进口食品,进口零食,进口糖果,KDV（俄罗斯）,1,1,0
116,进口食品,进口零食,进口糖果,莎莎的店（西班牙）,0,1,0
117,进口食品,进口零食,进口糖果,ROSHEN/如胜,1,1,0
118,进口食品,进口零食,进口糖果,Kracie,1,1,1
119,进口食品,进口零食,进口糖果,徐福记,1,1,0
120,进口食品,进口零食,进口糖果,Galatine/佳乐定（意大利）,0,0,0
121,进口食品,进口零食,进口糖果,阿尔卑斯,1,1,0
122,进口食品,进口零食,进口糖果,Jelly Belly/吉力贝,1,1,0
123,进口食品,进口零食,进口糖果,UHA/悠哈,1,1,0
124,进口食品,进口零食,进口糖果,Ricola/利口乐,1,1,1
125,进口食品,进口零食,进口糖果,Lotte/乐天,1,1,1
126,进口食品,进口零食,进口糖果,MintZ（印度尼西亚）,0,0,0
127,进口食品,进口零食,进口糖果,皇家呣呣,1,1,0
128,进口食品,进口零食,进口糖果,LonttonWF,1,1,0
129,进口食品,进口零食,进口果冻布丁,COCON/可康,1,1,0
130,进口食品,进口零食,进口果冻布丁,ZEK,1,1,0
